Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
Ideapad Slim 3 IntelCeleron N100 4GB 128GB W11H 15.6FHD 82XB009GTX Duddi Çanta+Mouse+MousePad,LENOVO,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,3,1.2,4 GB,LPDDR5,,128 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,4-6 Saat,Windows,,2025-12-02 06:36:31,11.399 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intelceleron-n100-4gb-128gb-w11h-15-6fhd-82xb009gtx-duddi-canta-mouse-mousepad-p-1053726481?boutiqueId=61&merchantId=557390
"Vivobook Go 15 E1504FA-NJ1881W AMD Ryzen 5 7520U 8 GB 512 GB SSD W11H 15.6"" 60Hz FHD Taşınabili",ASUS,AMD Ryzen 5,7520U,7. Nesil,4,,4.5,8 GB,LPDDR5,8 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,,Windows,Gri,2025-12-02 06:36:32,19.689 TL,https://www.trendyol.com/asus/vivobook-go-15-e1504fa-nj1881w-amd-ryzen-5-7520u-8-gb-512-gb-ssd-w11h-15-6-60hz-fhd-tasinabili-p-1041601135?boutiqueId=61&merchantId=624588
LOQ Intel i5-12450H 16GB 256GB SSD 15.6 FHD RTX3050 6GB FDOS 144Hz Gaming Laptop 82XV00WYTX2,LENOVO,Intel Core i5,12450H,12. Nesil,8,1.7,4.4,16 GB,DDR5,32 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah; Gri,2025-12-02 06:36:33,33.799 TL,https://www.trendyol.com/lenovo/loq-intel-i5-12450h-16gb-256gb-ssd-15-6-fhd-rtx3050-6gb-fdos-144hz-gaming-laptop-82xv00wytx2-p-870875700?boutiqueId=61&merchantId=444099
"Abra A5 V21.5.4 Intel Core i5 12450H 16GB 1TB SSD RTX 3050 FreeDos 15,6"" 144 Hz",MONSTER,Intel Core i5,12450H,12. Nesil,8,2.2,,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Dahili,4 GB ve altı,GDDR6,,2 - 4 kg,Oyun,,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:36:34,33.699 TL,https://www.trendyol.com/monster/abra-a5-v21-5-4-intel-core-i5-12450h-16gb-1tb-ssd-rtx-3050-freedos-15-6-144-hz-p-1055621803?boutiqueId=61&merchantId=105286
LOQ Intel i5-12450H 8GB 256GB SSD 15.6 FHD RTX3050 6GB FDOS 144Hz Gaming Laptop 82XV00WYTX1,LENOVO,Intel Core i5,12450H,12. Nesil,8,1.7,4.4,8 GB,DDR5,32 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah; Gri,2025-12-02 06:36:35,32.149 TL,https://www.trendyol.com/lenovo/loq-intel-i5-12450h-8gb-256gb-ssd-15-6-fhd-rtx3050-6gb-fdos-144hz-gaming-laptop-82xv00wytx1-p-870876284?boutiqueId=61&merchantId=444099
"ROG Strix G18 G815JMR-S9035-Gaming Intel Core i9 14900HX 16GB 1TB SSD RTX 5060 18"" 2.5K WQXGA Fdos",ASUS,Intel Core i9,14900HX,14. Nesil,24,2.2,+5,16 GB,DDR5,64 GB,1 TB,HDD Yok,18 inç,2560 x 1600,2.5K,240 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,115W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Eclipse Gri,2025-12-02 06:36:36,97.999 TL,https://www.trendyol.com/asus/rog-strix-g18-g815jmr-s9035-gaming-intel-core-i9-14900hx-16gb-1tb-ssd-rtx-5060-18-2-5k-wqxga-fdos-p-1043078721?boutiqueId=61&merchantId=104683
Katana 17 HX B14WFK-257XTR i7-14650HX 16GB 1TB SSD 8GB RTX5060 115W 17.3 QHD 240Hz FreeDOS,MSI,Intel Core i7,14650HX,14. Nesil,16,1.6,+5,16 GB,DDR5,64 GB,1 TB,HDD Yok,17 inç,2560 x 1440,QHD,240 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,Belirtilmemiş,115W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:36:37,76.579 TL,https://www.trendyol.com/msi/katana-17-hx-b14wfk-257xtr-i7-14650hx-16gb-1tb-ssd-8gb-rtx5060-115w-17-3-qhd-240hz-freedos-p-1019653823?boutiqueId=61&merchantId=105378
A16 Intel Core I7-13620h 16gb Ddr5 Ram 1tb M.2 Ssd Rtx4050-6gb 75w 16'' Fhd 165hz Freedos G,Gigabyte,Intel Core i7,13620H,13. Nesil,10,3.9,4.9,16 GB,DDR5,16 GB,1 TB,HDD Yok,16 inç,1920 x 1200,FHD+,165 Hz,Full HD,Nvidia GeForce RTX 4050,Harici,6 GB,DDR5,75W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:36:38,41.399 TL,https://www.trendyol.com/gigabyte/a16-intel-core-i7-13620h-16gb-ddr5-ram-1tb-m-2-ssd-rtx4050-6gb-75w-16-fhd-165hz-freedos-g-p-929662707?boutiqueId=61&merchantId=106248
"Yoga Slım 7 15ıll9 Intel Core Ultra 7 256v 16gb 512gb SSD Integrated Intel ARC Graphıcs 15.3""",LENOVO,Intel Core Ultra 7,256V,Belirtilmemiş,Belirtilmemiş,3.3,,16 GB,Belirtilmemiş,,512 GB,HDD Yok,"15,3 inç",2880 x 1800,Full HD (FHD),Belirtilmemiş,IPS,Intel Arc Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,Belirtilmemiş,Ev - Okul,,Windows,Renkli,2025-12-02 06:36:39,64.999 TL,https://www.trendyol.com/lenovo/yoga-slim-7-15ill9-intel-core-ultra-7-256v-16gb-512gb-ssd-integrated-intel-arc-graphics-15-3-p-992346841?boutiqueId=61&merchantId=107870
"15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, 60Hz refresh rate, Intel® Celeron® N4500, Ddr4",ASUS,Intel Celeron,N4500,Belirtilmemiş,Belirtilmemiş,,,4 GB,Belirtilmemiş,,128 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,,Belirtilmemiş,Ev - Okul,,Windows,Renkli,2025-12-02 06:36:40,10.999 TL,https://www.trendyol.com/asus/15-6-inch-fhd-1920-x-1080-16-9-aspect-ratio-60hz-refresh-rate-intel-celeron-n4500-ddr4-p-1056562224?boutiqueId=61&merchantId=107870
"Katana 17 HX B14WGK-047XTR i7-14650HX 16 GB 1 TB SSD RTX5070 17.3"" QHD Gaming Laptop",MSI,Intel Core i7,14650HX,14. Nesil,1,2.6,4.9,16 GB,DDR5,16 GB,1 TB,1 TB,"17,3 inç",2560 x 1440,QHD,240 Hz,LED,Nvidia GeForce RTX 5070,Harici,8 GB,DDR5,,Belirtilmemiş,Oyun,,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:36:41,81.799 TL,https://www.trendyol.com/msi/katana-17-hx-b14wgk-047xtr-i7-14650hx-16-gb-1-tb-ssd-rtx5070-17-3-qhd-gaming-laptop-p-1019777311?boutiqueId=61&merchantId=1007811
Tuf Gaming A15 Fa507nu-Lp051w Amd Ryzen 7 7735hs 8gb Ddr5 512gb M2 Ssd Nvidia Geforce Rtx4050 1,ASUS,AMD Ryzen 7,7735HS,13. Nesil,8,3.2,,8 GB,DDR5,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Dahili,Paylaşımlı,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Windows,Renkli; Siyah,2025-12-02 06:36:42,51.999 TL,https://www.trendyol.com/asus/tuf-gaming-a15-fa507nu-lp051w-amd-ryzen-7-7735hs-8gb-ddr5-512gb-m2-ssd-nvidia-geforce-rtx4050-1-p-770779807?boutiqueId=61&merchantId=125175
"ROG Strix G16 G614JV-N3110 i7-13650HX 16 GB 512 GB SSD RTX4060 16"" WUXGA Gaming Laptop",ASUS,Intel Core i7,13650HX,13. Nesil,16,2.6,4.9,16 GB,DDR5,4 GB,512 GB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),165 Hz,IPS,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,140W,2 - 4 kg,Oyun,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Eclipse Gray,2025-12-02 06:36:43,68.999 TL,https://www.trendyol.com/asus/rog-strix-g16-g614jv-n3110-i7-13650hx-16-gb-512-gb-ssd-rtx4060-16-wuxga-gaming-laptop-p-1039110841?boutiqueId=61&merchantId=797201
ROG Strix G18/ G814JIR-N6060W/ Intel i9-14900 HX/ 32GB Ram/ 1 TB SSD/ RTX4070/ 18''/ Win 11 Gaming L,ASUS,Intel Core i9,14900HX,Belirtilmemiş,Belirtilmemiş,4,,32 GB,DDR5,8 GB,1 TB,HDD Yok,18 inç,2560 x 1600,QHD,240 Hz,IPS,Nvidia GeForce RTX 4070,Dahili,Paylaşımlı,GDDR6,,2 - 4 kg,Oyun,,Windows,Gri,2025-12-02 06:36:45,99.599 TL,https://www.trendyol.com/asus/rog-strix-g18-g814jir-n6060w-intel-i9-14900-hx-32gb-ram-1-tb-ssd-rtx4070-18-win-11-gaming-l-p-817499918?boutiqueId=61&merchantId=161935
Nitro 16S NH.U07EY.001-32 Ryzen AI 9 365 32GB 1TB SSD RTX5070Tİ-12GB 180Hz 16 WQXGA Dos Taşınab,ACER,AMD Ryzen AI 9,Belirtilmemiş,Belirtilmemiş,10,3.6,3.6,32 GB,DDR5,16 GB,1 TB,HDD Yok,16 inç,2560 x 1600,WQXGA,180 Hz,WUXGA,Nvidia GeForce RTX 5070 Ti,Harici,12 GB,DDR5,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:36:46,85.999 TL,https://www.trendyol.com/acer/nitro-16s-nh-u07ey-001-32-ryzen-ai-9-365-32gb-1tb-ssd-rtx5070ti-12gb-180hz-16-wqxga-dos-tasinab-p-992578193?boutiqueId=61&merchantId=106740
"Tulpar T6 V3.7 Intel Core i9 13900HX 16GB RAM 500GB SSD 12GB RTX 5070 Ti FreeDOS 16"" QHD+ 180 Hz",MONSTER,Intel Core i9,13900HX,13. Nesil,24,2.2,+5,16 GB,DDR5,,500 GB,HDD Yok,16 inç,2560 x 1600,QHD+,180 Hz,IPS,Nvidia GeForce RTX 5070 Ti,Dahili,16 GB,GDDR7,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:36:47,85.499 TL,https://www.trendyol.com/monster/tulpar-t6-v3-7-intel-core-i9-13900hx-16gb-ram-500gb-ssd-12gb-rtx-5070-ti-freedos-16-qhd-180-hz-p-969551252?boutiqueId=61&merchantId=105286
"Yoga Slım 6 83E0005YTR Core™ I7-13700h 16gb 1tb Ssd 14"" Oled Freedos Taşınabilir Bilgisayar",LENOVO,Intel Core i7,13700H,13. Nesil,14,2.4,5.0,16 GB,LPDDR5X,16 GB,1 TB,HDD Yok,14 inç,1920 x 1200,WUXGA,60 Hz,OLED,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:36:48,38.259 TL,https://www.trendyol.com/lenovo/yoga-slim-6-83e0005ytr-core-i7-13700h-16gb-1tb-ssd-14-oled-freedos-tasinabilir-bilgisayar-p-905732780?boutiqueId=61&merchantId=107301
"G16 7630 G76302401010U i7-13700HX 16GB 512SSD RTX4060 16"" QHD+ FreeDOS Taşınabilir Bilgisayar",Dell,Intel Core i7,13700HX,13. Nesil,16,2,,16 GB,DDR5,64 GB,512 GB,HDD Yok,16 inç,2560 x 1600,QHD+,165 Hz,VA,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,,2 - 4 kg,Oyun,,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:36:49,70.999 TL,https://www.trendyol.com/dell/g16-7630-g76302401010u-i7-13700hx-16gb-512ssd-rtx4060-16-qhd-freedos-tasinabilir-bilgisayar-p-761362862?boutiqueId=61&merchantId=141868
"Zenbook S 14 Intel Core Ultra 7 258V 32GB 1TB SSD Windows 11 Home 14"" OLED UX5406SA-PZ322W",ASUS,Intel Core Ultra 7,258V,Belirtilmemiş,8,2.2,4.8,32 GB,LPDDR5X,,1 TB,HDD Yok,14 inç,2880 x 1800,OLED 2.8K,120 Hz,OLED,Intel Arc Graphics,Dahili,Belirtilmemiş,Belirtilmemiş,,2 kg ve altı,Ofis - İş,,Windows,Gri,2025-12-02 06:36:50,69.999 TL,https://www.trendyol.com/asus/zenbook-s-14-intel-core-ultra-7-258v-32gb-1tb-ssd-windows-11-home-14-oled-ux5406sa-pz322w-p-1053122115?boutiqueId=61&merchantId=106934
"LOQ Intel Core i5-13450HX 16GB 512GB SSD 15.6"" FHD 144Hz RTX5060 8GB GDDR7 FreeDOS 83JE00JMTR",LENOVO,Intel Core i5,13450HX,13. Nesil,10,2.4,4.9,16 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,100W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:36:51,54.999 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-13450hx-16gb-512gb-ssd-15-6-fhd-144hz-rtx5060-8gb-gddr7-freedos-83je00jmtr-p-984801666?boutiqueId=681310&merchantId=968
"Huma H4 V5.2.3 Black Intel Core I7 1255u 8 Gb Ram 500 Gb Ssd Freedos 14,1"" Fhd",MONSTER,Intel Core i7,1255U,12. Nesil,10,1.7,4.7,8 GB,DDR4,64 GB,500 GB,HDD Yok,"14,1 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:36:52,29.999 TL,https://www.trendyol.com/monster/huma-h4-v5-2-3-black-intel-core-i7-1255u-8-gb-ram-500-gb-ssd-freedos-14-1-fhd-p-727900004?boutiqueId=61&merchantId=105286
"Zenbook Duo Oled Ultra9-285h 32gb Ram 2tb Ssd I Intel Arc Graphics 14"" W11 Gri Noteb",ASUS,Intel Core Ultra 9,285H,Belirtilmemiş,Belirtilmemiş,1.9,3.2,32 GB,Belirtilmemiş,32 GB,2 TB,Belirtilmemiş,14 inç,1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Intel Arc Graphics,Belirtilmemiş,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ev - Okul,4-6 Saat,Windows,Renkli; Siyah,2025-12-02 06:36:53,111.500 TL,https://www.trendyol.com/asus/zenbook-duo-oled-ultra9-285h-32gb-ram-2tb-ssd-i-intel-arc-graphics-14-w11-gri-noteb-p-899545358?boutiqueId=61&merchantId=275331
"ThinkPad E14 G7 Ultra 7 255H 32GB 1TB SSD 14"" WUXGA Freedos Notebook 21SX007CTX 006",LENOVO,Intel Core Ultra 7,255H,Belirtilmemiş,16,2,+5,32 GB,DDR5,64 GB,1 TB,HDD Yok,14 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel Arc Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:36:54,53.490 TL,https://www.trendyol.com/lenovo/thinkpad-e14-g7-ultra-7-255h-32gb-1tb-ssd-14-wuxga-freedos-notebook-21sx007ctx-006-p-1039876096?boutiqueId=61&merchantId=114271
"VivoBook 16 X1607QA-MB052W SnapdragonX X1-26-100 16GB 512SSD 16"" WUXGA W11H Dizüstü Bilgisayar",ASUS,Snapdragon X,Belirtilmemiş,Belirtilmemiş,8,3,3.0,16 GB,DDR5,16 GB,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Adreno GPU,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Gri,2025-12-02 06:36:55,30.579 TL,https://www.trendyol.com/asus/vivobook-16-x1607qa-mb052w-snapdragonx-x1-26-100-16gb-512ssd-16-wuxga-w11h-dizustu-bilgisayar-p-978661688?boutiqueId=61&merchantId=624588
"Prestige 13 AI EVO A1MG-236TR Intel Core Ultra 7 155H 16GB 1TB SSD 13.3"" 2.8K OLED Win11H Hediyeli",MSI,Intel Core Ultra 7,155H,Belirtilmemiş,16,3.1,4.8,16 GB,LPDDR5,16 GB,1 TB,HDD Yok,"13,3 inç",2880 x 1800,WQXGA,60 Hz,OLED,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Beyaz,2025-12-02 06:36:56,45.999 TL,https://www.trendyol.com/msi/prestige-13-ai-evo-a1mg-236tr-intel-core-ultra-7-155h-16gb-1tb-ssd-13-3-2-8k-oled-win11h-hediyeli-p-929526504?boutiqueId=61&merchantId=867147
Thinkbook 16 G6 IRL Intel Core i5 13420H 16GB 512GB SSD 16'' WUXGA Freedos Gri 21KH00SXTR,LENOVO,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,16 GB,DDR5,64 GB,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:36:57,25.999 TL,https://www.trendyol.com/lenovo/thinkbook-16-g6-irl-intel-core-i5-13420h-16gb-512gb-ssd-16-wuxga-freedos-gri-21kh00sxtr-p-925227576?boutiqueId=61&merchantId=106934
"ROG Strix G16 G614PM-S5061W AMD Ryzen 9 8940HX 16"" 2.5K 1 TB SSD GeForce RTX 5060 Win11H",ASUS,AMD Ryzen 9,8940HX,Belirtilmemiş,4,3.2,4.7,16 GB,Belirtilmemiş,,1 TB,HDD Yok,16 inç,1920 x 1080,Full HD (FHD),240 Hz,Full HD,Nvidia GeForce RTX 5060,Dahili,Paylaşımlı,Belirtilmemiş,,Belirtilmemiş,Oyun,,Windows,Renkli,2025-12-02 06:36:58,79.999 TL,https://www.trendyol.com/asus/rog-strix-g16-g614pm-s5061w-amd-ryzen-9-8940hx-16-2-5k-1-tb-ssd-geforce-rtx-5060-win11h-p-987844935?boutiqueId=61&merchantId=107870
Vivobook 15 13.Nesil Core i5 13420H-8Gb-512Gb Ssd-15.6inc-W11,ASUS,Intel Core i5,13420H,13. Nesil,8,3.6,,8 GB,DDR4,,512 GB,512 GB,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,,Windows,Gümüş,2025-12-02 06:36:59,23.499 TL,https://www.trendyol.com/asus/vivobook-15-13-nesil-core-i5-13420h-8gb-512gb-ssd-15-6inc-w11-p-1054002637?boutiqueId=61&merchantId=624588
"LOQ 15IRX10 83JE00ETTR i7-13650HX 12GB DDR5 512GB SSD RTX5060-8GB 15.6"" IPS 144Hz Dos",LENOVO,Intel Core i7,13650HX,13. Nesil,14,2.6,4.9,12 GB,DDR5,32 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:37:00,56.999 TL,https://www.trendyol.com/lenovo/loq-15irx10-83je00ettr-i7-13650hx-12gb-ddr5-512gb-ssd-rtx5060-8gb-15-6-ips-144hz-dos-p-987997421?boutiqueId=61&merchantId=106198
NB VECTOR 17 HX AI A2XWHG-081TR ULTRA 9 275HX 32GB DDR5 RTX5070TI GDDR7 12GB 2TB SSD 17.0 QHD+ 2,MSI,Intel Core Ultra 9,275HX,Belirtilmemiş,24,3,+5,32 GB,DDR5,64 GB,2 TB,HDD Yok,17 inç,2560 x 1600,QHD+,240 Hz,IPS,Nvidia GeForce RTX 5070 Ti,Harici,12 GB,GDDR7,120W,2 - 4 kg,Oyun,4-6 Saat,Windows,Renkli,2025-12-02 06:37:01,123.999 TL,https://www.trendyol.com/msi/nb-vector-17-hx-ai-a2xwhg-081tr-ultra-9-275hx-32gb-ddr5-rtx5070ti-gddr7-12gb-2tb-ssd-17-0-qhd-2-p-940144447?boutiqueId=61&merchantId=996584
Surface Pro Copilot+ PC (11th) Intel Ultra 7 268V 13” OLED Touch 32GB 1TB 2 Yıl Garanti,Microsoft,Intel Core Ultra 7,Belirtilmemiş,2. Nesil,8,2.2,5.0,32 GB,LPDDR5X,32 GB,1 TB,HDD Yok,13 inç,2880 x 1864,Dokunmatik,120 Hz,OLED,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,Belirtilmemiş,Ofis - İş,6 Saat ve Üstü,Windows,Gri,2025-12-02 06:37:03,188.962 TL,https://www.trendyol.com/microsoft/surface-pro-copilot-pc-11th-intel-ultra-7-268v-13-oled-touch-32gb-1tb-2-yil-garanti-p-996337387?boutiqueId=61&merchantId=112804
"ROG Strix G16 i7-14650HX 32 GB RAM 1 TB SSD 8GB RTX5060 16"" DOS WQXGA G615JMR-S5048 Zİ707",ASUS,Intel Core i7,14650HX,14. Nesil,Belirtilmemiş,2.6,+5,32 GB,DDR5,32 GB,1 TB,HDD Yok,16 inç,2560 x 1600,WQXGA,240 Hz,IPS,Nvidia GeForce RTX 5060,Dahili,8 GB,Belirtilmemiş,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:37:04,99.580 TL,https://www.trendyol.com/asus/rog-strix-g16-i7-14650hx-32-gb-ram-1-tb-ssd-8gb-rtx5060-16-dos-wqxga-g615jmr-s5048-zi707-p-1058774991?boutiqueId=61&merchantId=820455
"Tulpar T7 V26.2.9 Intel Core I7 13620h 64 Ram 1tb Ssd Rtx 5060 Windows 11 17,3"" Fhd 144 Hz",MONSTER,Intel Core i7,13620H,13. Nesil,24,2.4,4.9,64 GB,DDR5,64 GB,1 TB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 5060,Dahili,8 GB,GDDR7,115W,2 - 4 kg,Oyun,4-6 Saat,Windows,Siyah,2025-12-02 06:37:05,77.399 TL,https://www.trendyol.com/monster/tulpar-t7-v26-2-9-intel-core-i7-13620h-64-ram-1tb-ssd-rtx-5060-windows-11-17-3-fhd-144-hz-p-937613926?boutiqueId=61&merchantId=105286
"IdeaPad 1 82R4006ETR08 Ryzen7 5700U 8GB 512SSD 15.6"" FullHD W11P Taşınabilir Bilgisayar",LENOVO,AMD Ryzen 7,5700U,5. Nesil,8,1.8,,8 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Windows,Gri,2025-12-02 06:37:06,19.000 TL,https://www.trendyol.com/lenovo/ideapad-1-82r4006etr08-ryzen7-5700u-8gb-512ssd-15-6-fullhd-w11p-tasinabilir-bilgisayar-p-771241457?boutiqueId=61&merchantId=832705
"Macbook Pro/ M5 işlemci/ (10 ÇekirdekCPU-10 çekirdek GPU)/ 16GB Ram/ 1TB SSD/ 14.2""/ Spa",Apple,Belirtilmemiş,Belirtilmemiş,5. Nesil,10,,2.3,16 GB,Birleşik Bellek,16 GB,1 TB,HDD Yok,14 inç,3024 x 1964,Retina,120 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Mac Os,Space Black,2025-12-02 06:37:07,93.200 TL,https://www.trendyol.com/apple/macbook-pro-m5-islemci-10-cekirdekcpu-10-cekirdek-gpu-16gb-ram-1tb-ssd-14-2-spa-p-1056366596?boutiqueId=61&merchantId=275331
,,MediaTek P60T,4800HS,5. Nesil,10,1.6,,36 GB,LPDDR4X,,32 GB,500 GB,18 inç,4480 x 2520,Ultra HD 4K (UHD),90 Hz,IPS,Intel XE Graphics,Harici,10 GB,Dahili,,2 kg ve altı,Ev - Okul,4-6 Saat,Windows,Siyah,2025-12-02 06:37:09,"5.724,59 TL",https://www.trendyol.com/innolux/15-6-hp-l51625-jd3-ips-notebook-paneli-1920x1080-30pin-slim-ips-p-884175757?boutiqueId=61&merchantId=145937
Ideapad Slim 3 13.Nesil Core i3 1315U-8Gb-512Gb Ssd-15.6inc-W11,LENOVO,Intel Core i3,1315U,13. Nesil,6,3,3.7,8 GB,LPDDR5,,512 GB,512 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:37:10,18.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-13-nesil-core-i3-1315u-8gb-512gb-ssd-15-6inc-w11-p-1038461634?boutiqueId=61&merchantId=921289
"15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, 60Hz refresh rate, Intel® Core™ 5 120u, Ddr4 8g",ASUS,Intel Core 5,120U,Belirtilmemiş,Belirtilmemiş,,4.0,8 GB,Belirtilmemiş,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,,Belirtilmemiş,Ev - Okul,4-6 Saat,Windows,Renkli,2025-12-02 06:37:12,29.999 TL,https://www.trendyol.com/asus/15-6-inch-fhd-1920-x-1080-16-9-aspect-ratio-60hz-refresh-rate-intel-core-5-120u-ddr4-8g-p-1056562276?boutiqueId=61&merchantId=107870
